url_path,views_total,views_unique
/cloudkeep-io/ebs-pricing,7,5
/cloudkeep-io/ebs-pricing/blob/main/get_ebs_pricing.py,6,3
/cloudkeep-io/ebs-pricing/blob/main/tools.py,4,2
/cloudkeep-io/ebs-pricing/blob/main/docs/ebs_pricing.json,3,1
/cloudkeep-io/ebs-pricing/blob/main/pyproject.toml,2,1
/cloudkeep-io/ebs-pricing/tree/main,2,1
/cloudkeep-io/ebs-pricing/blob/main/docs/last_updated,1,1
/cloudkeep-io/ebs-pricing/blob/main/.github/workflows/update.yml,1,1
/cloudkeep-io/ebs-pricing/blob/main/README.md,1,1
